supplier_name,address,country,state,city,postal_code,owner_company
HOP LUN (HK) LTD,"HONGJIA REV. CHENGTOU TOWN, FU QING, 350314, FU QING",,,,350314.0,H&M
HOP LUN (HK) LTD,"NO. 6 HUAYANG SOUTH ROAD, CHANGZHOU CITY, JIANGSU PROVINCE, CHINA, CHINA, 213021, CHANGZHOU",China,Jiangsu,,213021.0,H&M
HOP LUN (HK) LTD,"NO. 3 CHONGREN ROAD,, LUXIA TOWN, YANPING, DISTRICT, NANPING CITY, , FUJIAN PROVINCE, 353000, NANPING",China,Fujian,,353000.0,H&M
HOP LUN (HK) LTD,"DAYUAN TAOYUAN CITY, TAIWAN, 33700, DAYUAN",,,,33700.0,H&M
HOP LUN (HK) LTD,"XIN WEI GARDEN INDUSTRIAL ZONE, SHI LONG TOWN, 523321, DONGGUAN",China,Guangdong,Dongguan,523321.0,H&M
HOP LUN (HK) LTD,"NO.201 BUILDING #1, NO.2 HEYIWEI INDUSTRIAL FOUR ROAD, SHATIAN TOWN, 523000, DONGGUAN",China,Guangdong,Dongguan,523000.0,H&M
DORA S.R.L,"VIA ROVERI 2 ZERMEGHEDO, 36050, ",,,,36050.0,H&M
DORA S.R.L,"VIA G.PELLIZZARI, 3, MONTORSO VICENTINO-VI, 36050, VICENTINO",,,,36050.0,H&M
DORA S.R.L,"VIA E. MATTEI, 24, 25046, CAZZAGO",,,,25046.0,H&M
PT. SANSAN SAUDARATEX JAYA,"NO 88 HENGLIAN ROAD, HAIAN TOWN, NANTONG CITY, JIANGSU, CHINA, 226600, NANTONG",China,Jiangsu,,226600.0,H&M
PT. SANSAN SAUDARATEX JAYA,"NO.11, MEIDONG RD. DANGWAN COUNTY,, XIAOSHAN, 311200, HANGZHOU",China,Zhejiang,Hangzhou,311200.0,H&M
PT. SANSAN SAUDARATEX JAYA,"HANGMIN VILLAGE, XIAOSHAN, HANGZHOU, ZHEJIANG,CHINA, 310000, HANGZHOU",China,Zhejiang,,310000.0,H&M
PT. SANSAN SAUDARATEX JAYA,"JINJIANG INDUSTRIAL ZONE, XIAOSHAN, HANGZHOU, ZHEJIANG, CHINA, 310000, HANGZHOU",China,Zhejiang,,310000.0,H&M
PT. SANSAN SAUDARATEX JAYA,"NO.288 TIANZIWEI ROAD, 313000, HANGZHOU",China,Zhejiang,Hangzhou,313000.0,H&M
PT. SANSAN SAUDARATEX JAYA,"DONGHUAN ROAD, SHENGZE TOWN, WUJIANG, JIANGSU, CHINA, 215200, WUJIANG",China,Jiangsu,,215200.0,H&M
PT. SANSAN SAUDARATEX JAYA,"NO.1, PEOPLE RODE, KANSHAN, XIAOSHAN,, HANGZHOU, CHINA, ZHEJIANG, 202400, HANGZHOU",China,Zhejiang,,202400.0,H&M
PT. SANSAN SAUDARATEX JAYA,"NO.8 QIANNONG EAST ROAD, ECONOMIC DEVELOPMENT ZONE, XIAOSHAN DISTRICT, HANGZHOU, ZHEJIANG, CHINA, 200336, HANGZHOU",China,Zhejiang,,200336.0,H&M
PT. SANSAN SAUDARATEX JAYA,"NO.8 JINGYANG ROAD, , TIANNING DEVELOPMENT ZONE, 213000, CHANGZHOU",China,Zhejiang,Hangzhou,213000.0,H&M
PT. SANSAN SAUDARATEX JAYA,"WUBAO INDUSTRIAL ZONE, , HONGSHAN TOWN, SHISHI CITY, 362700, SHISHI",China,Fujian,Shishi,362700.0,H&M
PT. SANSAN SAUDARATEX JAYA,"JL.INDUSTRI II NO.6, LEUWI GAJAH, 40535, CIMAHI",,,,40535.0,H&M
PT. SANSAN SAUDARATEX JAYA,"DOUMEN VILLAGE, SHITANGWAN, LUOSHE TOWN, HUISHAN DISTRICT, 214185, WUXI",China,Jiangsu,Wuxi,214185.0,H&M
PT. SANSAN SAUDARATEX JAYA,"NIJIAXIANG VILLAGE ZHOUZHUANG TOWN, JIANGYIN, WUXI, 214423, WUXI",China,Jiangsu,Wuxi,214423.0,H&M
PT. SANSAN SAUDARATEX JAYA,"JL. GUBERNUR SEWAKA RT.02 ,, RW. 10, KEL. CILAMAJANG KEC. KAWALU, 40513, TASIKMALAYA",,,,40513.0,H&M
PT. SANSAN SAUDARATEX JAYA,"KAWASAN TAMAN INDUSTRI BLOK A 2A, NO. 1-2 JATIBARANG - SEMARANG, 40212, SEMARANG",Indonesia,Central Java,Semarang,40212.0,H&M
PT. SANSAN SAUDARATEX JAYA,"NO.333 E ZHOU NORTH ROAD, HE QIAO TOWN,YIXIN CITY, 234234, WUXI",China,Jiangsu,Wuxi,234234.0,H&M
PT. SANSAN SAUDARATEX JAYA,"5988 XINGBIN ROAD, , BINHAI INDUSTRIAL ZONE, KEQIAO DISTRICT, 312030, SHAOXING",China,Zhejiang,Shaoxing,5988.0,H&M
PT. SANSAN SAUDARATEX JAYA,"JL. LINTANG BLOK F NO.15 B, DESA SENTUL KECAMATAN BABAKAN, MANDANG, KABUPATEN BOGOR, 16810, BOGOR",,,,16810.0,H&M
PT. SANSAN SAUDARATEX JAYA,"DUKUH WINONG RT.07, RW.01, CANDEN, SAMBI, 57376, BOYOLALI",,,,57376.0,H&M
PT. SANSAN SAUDARATEX JAYA,"ABOUT 280 METERS SOUTHEAST, KEHAI RD AND ZHI ER RD INTERSECTION, KEQIAO DISTRICT, 215228, SHAOXING",China,Zhejiang,Shaoxing,215228.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","HUAYUAN VILLAGE, TANGQIAO TOWN, 215616, ZHANGJIAGANG",,,,215616.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","NO.99 JINHU RD, JINTAN DISTRICT, 213200, CHANGZHOU",China,Zhejiang,Hangzhou,213200.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","NO.66 EAST LIANGCHANG RD., JINTAN DISTRICT, 213200, CHANGZHOU",China,Zhejiang,Hangzhou,213200.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","NO.9,XINXING ROAD,INDUSTRIAL ZONE, 226000, NANTONG",,,,226000.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","BINHAI INDUSTRIAL ZONE, SHAOXING, 312000",China,Zhejiang,Shaoxing,312000.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","3 QUJIANG ECONOMIC DEVELOPMENT ZONE, QUJIANG DISTRICT, 512136, SHAOGUAN",,,,512136.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","DOUMEN VILLAGE, SHITANGWAN, LUOSHE TOWN, HUISHAN DISTRICT, 214185, WUXI",China,Jiangsu,Wuxi,214185.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","144 DALSEOCHEON-RO, SEO-GU, 41712, DAEGU",South Korea,Daegu,,41712.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","19 ZHONGYANG ROAD NANTONG ECONOMIC & TECHNOLOGICAL, DEVELOPMENT ZONE NANTONG JIANGSU CHINA, 200336, NANTONG",China,Jiangsu,,200336.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","NO.368,YINZHONG SOUTH ROAD,, ECONOMY DEVELOPMENT ZONE, WUZHONG, 215128, SUZHOU",China,Jiangsu,Suzhou,215128.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","NO.2265 JINGZHONG ROAD, HONGJIA JIAOJIANG, 318015, TAIZHOU",China,Jiangsu,Taizhou,2265.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","WUBAO INDUSTRIAL ZONE, , HONGSHAN TOWN, SHISHI CITY, 362700, SHISHI",China,Fujian,Shishi,362700.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","3# CAIHONG RD,SHENGZE TOWN, WUJIANG, JIANGSU, 215228, SUZHOU",China,Jiangsu,,215228.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","NO.5 MINPU ROAD, QINGYANG TOWN, JIANGYIN, JIANGSU, CHINA, 214400, JIANGYIN",China,Jiangsu,,214400.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","NO.8 JINGYANG ROAD, , TIANNING DEVELOPMENT ZONE, 213000, CHANGZHOU",China,Zhejiang,Hangzhou,213000.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","NO.58,NANHUAN ROAD,SHENGZE,WUJIANG,JIANGSU,CHINA, 215000, WUJIANG",China,Jiangsu,,215000.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","NO.8 QIANNONG EAST ROAD, ECONOMIC DEVELOPMENT ZONE, XIAOSHAN DISTRICT, HANGZHOU, ZHEJIANG, CHINA, 200336, HANGZHOU",China,Zhejiang,,200336.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","14, YEOMSAEKGONGDANJUNGANG-RO , 21-GIL, SEO-GU, 42772, DAEGU",South Korea,Daegu,,42772.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","XIE JIA ZHU XIN AN TOWN, HAIYANG, SHANGDONG, 264000, HAI YANG",,,,264000.0,H&M
"CHENFENG (JIANGSU) APPAREL CO., LTD","NO.1, PEOPLE RODE, KANSHAN, XIAOSHAN,, HANGZHOU, CHINA, ZHEJIANG, 202400, HANGZHOU",China,Zhejiang,,202400.0,H&M
